array,label,row,col,x,y,Power_uW,crop_file
240 22 CB,B02,1,2,457,438,36.101,240 22 CB\B2_36.101uW.png
240 22 CB,E01,1,5,965,340,39.668,240 22 CB\E1_39.668uW.png
240 22 CB,G01,1,7,1305,332,38.098,240 22 CB\G1_38.098uW.png
240 22 CB,K01,1,11,1984,318,38.517,240 22 CB\K1_38.517uW.png
240 22 CB,O01,1,14,2664,303,34.945,240 22 CB\O1_34.945uW.png
240 22 CB,S01,1,18,3343,289,36.74,240 22 CB\S1_36.74uW.png
240 22 CB,U01,1,20,3684,281,34.702,240 22 CB\U1_34.702uW.png
240 22 CB,X02,1,23,4196,357,37.152,240 22 CB\X2_37.152uW.png
240 22 CB,C07,4,3,639,936,38.786,240 22 CB\C7_38.786uW.png
240 22 CB,I07,4,9,1658,914,37.829,240 22 CB\I7_37.829uW.png
240 22 CB,Q07,4,16,3018,884,34.61,240 22 CB\Q7_34.61uW.png
240 22 CB,W07,4,22,4038,863,36.822,240 22 CB\W7_36.822uW.png
240 22 CB,A13,7,1,312,1530,39.209,240 22 CB\A13_39.209uW.png
240 22 CB,E13,7,5,990,1516,42.422,240 22 CB\E13_42.422uW.png
240 22 CB,G13,7,7,1330,1509,38.366,240 22 CB\G13_38.366uW.png
240 22 CB,K13,7,11,2010,1494,38.903,240 22 CB\K13_38.903uW.png
240 22 CB,O13,7,14,2689,1479,36.491,240 22 CB\O13_36.491uW.png
240 22 CB,S13,7,18,3369,1465,34.604,240 22 CB\S13_34.604uW.png
240 22 CB,U13,7,20,3709,1458,37.328,240 22 CB\U13_37.328uW.png
240 22 CB,Y13,7,24,4389,1443,37.457,240 22 CB\Y13_37.457uW.png
240 22 CB,A21,10,1,328,2315,39.093,240 22 CB\A21_39.093uW.png
240 22 CB,E21,10,5,1007,2300,39.502,240 22 CB\E21_39.502uW.png
240 22 CB,G21,10,7,1347,2293,40.819,240 22 CB\G21_40.819uW.png
240 22 CB,K21,10,11,2026,2278,38.61,240 22 CB\K21_38.61uW.png
240 22 CB,O21,10,14,2706,2264,38.514,240 22 CB\O21_38.514uW.png
240 22 CB,S21,10,18,3385,2249,37.573,240 22 CB\S21_37.573uW.png
240 22 CB,U21,10,20,3726,2242,37.662,240 22 CB\U21_37.662uW.png
240 22 CB,Y21,10,24,4406,2227,34.971,240 22 CB\Y21_34.971uW.png
240 22 CB,C27,13,3,681,2895,39.373,240 22 CB\C27_39.373uW.png
240 22 CB,I27,13,9,1700,2873,39.628,240 22 CB\I27_39.628uW.png
240 22 CB,Q27,13,16,3060,2844,37.882,240 22 CB\Q27_37.882uW.png
240 22 CB,W27,13,22,4080,2822,35.584,240 22 CB\W27_35.584uW.png
240 22 CB,B32,16,2,520,3379,38.17,240 22 CB\B32_38.17uW.png
240 22 CB,E33,16,5,1032,3477,36.57,240 22 CB\E33_36.57uW.png
240 22 CB,G33,16,7,1372,3469,38.05,240 22 CB\G33_38.05uW.png
240 22 CB,K33,16,11,2052,3455,37.453,240 22 CB\K33_37.453uW.png
240 22 CB,O33,16,14,2731,3440,35.88,240 22 CB\O33_35.88uW.png
240 22 CB,S33,16,18,3411,3426,35.494,240 22 CB\S33_35.494uW.png
240 22 CB,U33,16,20,3751,3418,36.379,240 22 CB\U33_36.379uW.png
240 22 CB,X32,16,23,4259,3298,34.119,240 22 CB\X32_34.119uW.png
