array,label,row,col,x,y,Power_uW,crop_file
260 22 CB,B02,1,2,449,537,52.581,260 22 CB\B2_52.581uW.png
260 22 CB,E01,1,5,958,430,51.57,260 22 CB\E1_51.57uW.png
260 22 CB,G01,1,7,1299,423,53.468,260 22 CB\G1_53.468uW.png
260 22 CB,K01,1,11,1978,411,53.468,260 22 CB\K1_53.468uW.png
260 22 CB,O01,1,14,2658,400,52.76,260 22 CB\O1_52.76uW.png
260 22 CB,S01,1,18,3339,386,51.713,260 22 CB\S1_51.713uW.png
260 22 CB,U01,1,20,3679,381,54.049,260 22 CB\U1_54.049uW.png
260 22 CB,X02,1,23,4191,468,54.604,260 22 CB\X2_54.604uW.png
260 22 CB,C07,4,3,629,1044,53.45,260 22 CB\C7_53.45uW.png
260 22 CB,I07,4,9,1649,1023,53.978,260 22 CB\I7_53.978uW.png
260 22 CB,Q07,4,16,3011,1000,53.781,260 22 CB\Q7_53.781uW.png
260 22 CB,W07,4,22,4032,982,54.801,260 22 CB\W7_54.801uW.png
260 22 CB,A13,7,1,301,1620,53.092,260 22 CB\A13_53.092uW.png
260 22 CB,E13,7,5,979,1607,55.303,260 22 CB\E13_55.303uW.png
260 22 CB,G13,7,7,1319,1600,55.526,260 22 CB\G13_55.526uW.png
260 22 CB,K13,7,11,2000,1588,53.665,260 22 CB\K13_53.665uW.png
260 22 CB,O13,7,14,2679,1576,52.59,260 22 CB\O13_52.59uW.png
260 22 CB,S13,7,18,3359,1564,55.24,260 22 CB\S13_55.24uW.png
260 22 CB,U13,7,20,3699,1558,53.638,260 22 CB\U13_53.638uW.png
260 22 CB,Y13,7,24,4381,1545,53.181,260 22 CB\Y13_53.181uW.png
260 22 CB,A21,10,1,315,2406,55.625,260 22 CB\A21_55.625uW.png
260 22 CB,E21,10,5,994,2392,55.312,260 22 CB\E21_55.312uW.png
260 22 CB,G21,10,7,1334,2386,53.915,260 22 CB\G21_53.915uW.png
260 22 CB,K21,10,11,2014,2373,51.266,260 22 CB\K21_51.266uW.png
260 22 CB,O21,10,14,2695,2361,53.665,260 22 CB\O21_53.665uW.png
260 22 CB,S21,10,18,3374,2350,53.987,260 22 CB\S21_53.987uW.png
260 22 CB,U21,10,20,3714,2343,54.569,260 22 CB\U21_54.569uW.png
260 22 CB,Y21,10,24,4396,2330,52.214,260 22 CB\Y21_52.214uW.png
260 22 CB,C27,13,3,666,3004,55.124,260 22 CB\C27_55.124uW.png
260 22 CB,I27,13,9,1685,2984,52.286,260 22 CB\I27_52.286uW.png
260 22 CB,Q27,13,16,3048,2961,51.74,260 22 CB\Q27_51.74uW.png
260 22 CB,W27,13,22,4068,2942,51.355,260 22 CB\W27_51.355uW.png
260 22 CB,B30,15,2,500,3286,55.464,260 22 CB\B30_55.464uW.png
260 22 CB,E33,16,5,1016,3570,53.477,260 22 CB\E33_53.477uW.png
260 22 CB,G33,16,7,1357,3565,54.801,260 22 CB\G33_54.801uW.png
260 22 CB,K33,16,11,2036,3551,53.235,260 22 CB\K33_53.235uW.png
260 22 CB,O33,16,14,2716,3539,52.662,260 22 CB\O33_52.662uW.png
260 22 CB,S33,16,18,3397,3528,53.772,260 22 CB\S33_53.772uW.png
260 22 CB,U33,16,20,3737,3521,54.058,260 22 CB\U33_54.058uW.png
260 22 CB,X32,16,23,4245,3414,52.555,260 22 CB\X32_52.555uW.png
