array,label,row,col,x,y,Power_uW,crop_file
239 25 CB,B02,1,2,505,524,47.855,239 25 CB\B2_47.855uW.png
239 25 CB,E01,1,5,1014,427,46.718,239 25 CB\E1_46.718uW.png
239 25 CB,G01,1,7,1354,420,45.984,239 25 CB\G1_45.984uW.png
239 25 CB,K01,1,11,2034,407,46.924,239 25 CB\K1_46.924uW.png
239 25 CB,O01,1,14,2714,393,47.291,239 25 CB\O1_47.291uW.png
239 25 CB,S01,1,18,3394,379,48.231,239 25 CB\S1_48.231uW.png
239 25 CB,U01,1,20,3735,372,47.909,239 25 CB\U1_47.909uW.png
239 25 CB,X02,1,23,4247,449,49.95,239 25 CB\X2_49.95uW.png
239 25 CB,C07,4,3,687,1023,49.171,239 25 CB\C7_49.171uW.png
239 25 CB,I07,4,9,1707,1002,49.09,239 25 CB\I7_49.09uW.png
239 25 CB,Q07,4,16,3068,975,48.929,239 25 CB\Q7_48.929uW.png
239 25 CB,W07,4,22,4088,954,48.347,239 25 CB\W7_48.347uW.png
239 25 CB,A13,7,1,358,1618,48.956,239 25 CB\A13_48.956uW.png
239 25 CB,E13,7,5,1037,1604,48.15,239 25 CB\E13_48.15uW.png
239 25 CB,G13,7,7,1378,1597,49.117,239 25 CB\G13_49.117uW.png
239 25 CB,K13,7,11,2058,1584,50.03,239 25 CB\K13_50.03uW.png
239 25 CB,O13,7,14,2738,1570,46.754,239 25 CB\O13_46.754uW.png
239 25 CB,S13,7,18,3418,1556,48.392,239 25 CB\S13_48.392uW.png
239 25 CB,U13,7,20,3759,1549,47.354,239 25 CB\U13_47.354uW.png
239 25 CB,Y13,7,24,4439,1536,50.496,239 25 CB\Y13_50.496uW.png
239 25 CB,A21,10,1,374,2403,47.399,239 25 CB\A21_47.399uW.png
239 25 CB,E21,10,5,1053,2389,47.963,239 25 CB\E21_47.963uW.png
239 25 CB,G21,10,7,1393,2383,47.103,239 25 CB\G21_47.103uW.png
239 25 CB,K21,10,11,2074,2369,48.15,239 25 CB\K21_48.15uW.png
239 25 CB,O21,10,14,2754,2355,52.062,239 25 CB\O21_52.062uW.png
239 25 CB,S21,10,18,3434,2341,49.824,239 25 CB\S21_49.824uW.png
239 25 CB,U21,10,20,3775,2335,47.273,239 25 CB\U21_47.273uW.png
239 25 CB,Y21,10,24,4455,2321,48.795,239 25 CB\Y21_48.795uW.png
239 25 CB,C27,13,3,726,2984,49.699,239 25 CB\C27_49.699uW.png
239 25 CB,I27,13,9,1746,2964,47.954,239 25 CB\I27_47.954uW.png
239 25 CB,Q27,13,16,3108,2936,48.911,239 25 CB\Q27_48.911uW.png
239 25 CB,W27,13,22,4128,2916,47.067,239 25 CB\W27_47.067uW.png
239 25 CB,B32,16,2,565,3468,50.254,239 25 CB\B32_50.254uW.png
239 25 CB,E33,16,5,1077,3567,47.533,239 25 CB\E33_47.533uW.png
239 25 CB,G33,16,7,1417,3560,46.172,239 25 CB\G33_46.172uW.png
239 25 CB,K33,16,11,2097,3546,48.67,239 25 CB\K33_48.67uW.png
239 25 CB,O33,16,14,2777,3532,49.198,239 25 CB\O33_49.198uW.png
239 25 CB,S33,16,18,3458,3519,48.723,239 25 CB\S33_48.723uW.png
239 25 CB,U33,16,20,3799,3512,46.781,239 25 CB\U33_46.781uW.png
239 25 CB,X32,16,23,4307,3393,47.971,239 25 CB\X32_47.971uW.png
