array,label,row,col,x,y,Power_uW,crop_file
258 32 CA,B02,1,2,466,623,37.819,258 32 CA\B2_37.819uW.png
258 32 CA,E01,1,5,976,515,38.52,258 32 CA\E1_38.52uW.png
258 32 CA,G01,1,7,1316,509,41.876,258 32 CA\G1_41.876uW.png
258 32 CA,K01,1,11,1995,496,39.255,258 32 CA\K1_39.255uW.png
258 32 CA,O01,1,14,2674,484,38.458,258 32 CA\O1_38.458uW.png
258 32 CA,S01,1,18,3355,471,39.042,258 32 CA\S1_39.042uW.png
258 32 CA,U01,1,20,3695,465,39.56,258 32 CA\U1_39.56uW.png
258 32 CA,X02,1,23,4207,552,36.396,258 32 CA\X2_36.396uW.png
258 32 CA,C07,4,3,647,1129,36.059,258 32 CA\C7_36.059uW.png
258 32 CA,I07,4,9,1667,1108,43.191,258 32 CA\I7_43.191uW.png
258 32 CA,Q07,4,16,3027,1084,37.307,258 32 CA\Q7_37.307uW.png
258 32 CA,W07,4,22,4048,1066,40.971,258 32 CA\W7_40.971uW.png
258 32 CA,A13,7,1,319,1706,41.929,258 32 CA\A13_41.929uW.png
258 32 CA,E13,7,5,997,1692,39.262,258 32 CA\E13_39.262uW.png
258 32 CA,G13,7,7,1337,1685,37.148,258 32 CA\G13_37.148uW.png
258 32 CA,K13,7,11,2017,1673,41.544,258 32 CA\K13_41.544uW.png
258 32 CA,O13,7,14,2696,1660,40.989,258 32 CA\O13_40.989uW.png
258 32 CA,S13,7,18,3376,1649,39.362,258 32 CA\S13_39.362uW.png
258 32 CA,U13,7,20,3716,1642,41.106,258 32 CA\U13_41.106uW.png
258 32 CA,Y13,7,24,4397,1629,40.9,258 32 CA\Y13_40.9uW.png
258 32 CA,A21,10,1,333,2491,38.714,258 32 CA\A21_38.714uW.png
258 32 CA,E21,10,5,1012,2477,38.941,258 32 CA\E21_38.941uW.png
258 32 CA,G21,10,7,1352,2470,39.107,258 32 CA\G21_39.107uW.png
258 32 CA,K21,10,11,2032,2458,41.419,258 32 CA\K21_41.419uW.png
258 32 CA,O21,10,14,2713,2445,40.372,258 32 CA\O21_40.372uW.png
258 32 CA,S21,10,18,3391,2433,37.768,258 32 CA\S21_37.768uW.png
258 32 CA,U21,10,20,3731,2427,39.663,258 32 CA\U21_39.663uW.png
258 32 CA,Y21,10,24,4412,2413,38.835,258 32 CA\Y21_38.835uW.png
258 32 CA,C27,13,3,684,3089,37.893,258 32 CA\C27_37.893uW.png
258 32 CA,I27,13,9,1703,3068,38.702,258 32 CA\I27_38.702uW.png
258 32 CA,Q27,13,16,3066,3045,39.513,258 32 CA\Q27_39.513uW.png
258 32 CA,W27,13,22,4085,3026,38.904,258 32 CA\W27_38.904uW.png
258 32 CA,B32,16,2,521,3566,37.929,258 32 CA\B32_37.929uW.png
258 32 CA,E33,16,5,1034,3655,38.09,258 32 CA\E33_38.09uW.png
258 32 CA,G33,16,7,1375,3649,38.663,258 32 CA\G33_38.663uW.png
258 32 CA,K33,16,11,2054,3635,40.989,258 32 CA\K33_40.989uW.png
258 32 CA,O33,16,14,2734,3623,38.797,258 32 CA\O33_38.797uW.png
258 32 CA,S33,16,18,3415,3611,39.203,258 32 CA\S33_39.203uW.png
258 32 CA,U33,16,20,3754,3604,39.36,258 32 CA\U33_39.36uW.png
258 32 CA,X32,16,23,4262,3497,39.461,258 32 CA\X32_39.461uW.png
