array,label,row,col,x,y,Power_uW,crop_file
239 45 CC,B02,1,2,484,520,46.602,239 45 CC\B2_46.602uW.png
239 45 CC,E01,1,5,992,423,48.571,239 45 CC\E1_48.571uW.png
239 45 CC,G01,1,7,1331,416,46.987,239 45 CC\G1_46.987uW.png
239 45 CC,K01,1,11,2011,402,45.018,239 45 CC\K1_45.018uW.png
239 45 CC,O01,1,14,2691,388,48.41,239 45 CC\O1_48.41uW.png
239 45 CC,S01,1,18,3371,374,46.369,239 45 CC\S1_46.369uW.png
239 45 CC,U01,1,20,3712,367,44.498,239 45 CC\U1_44.498uW.png
239 45 CC,X02,1,23,4223,443,48.231,239 45 CC\X2_48.231uW.png
239 45 CC,C07,4,3,665,1018,48.222,239 45 CC\C7_48.222uW.png
239 45 CC,I07,4,9,1684,997,49.037,239 45 CC\I7_49.037uW.png
239 45 CC,Q07,4,16,3045,969,46.638,239 45 CC\Q7_46.638uW.png
239 45 CC,W07,4,22,4065,948,46.691,239 45 CC\W7_46.691uW.png
239 45 CC,A13,7,1,337,1613,47.085,239 45 CC\A13_47.085uW.png
239 45 CC,E13,7,5,1016,1599,47.22,239 45 CC\E13_47.22uW.png
239 45 CC,G13,7,7,1356,1592,47.005,239 45 CC\G13_47.005uW.png
239 45 CC,K13,7,11,2035,1578,47.855,239 45 CC\K13_47.855uW.png
239 45 CC,O13,7,14,2715,1564,48.142,239 45 CC\O13_48.142uW.png
239 45 CC,S13,7,18,3395,1550,46.235,239 45 CC\S13_46.235uW.png
239 45 CC,U13,7,20,3736,1543,46.432,239 45 CC\U13_46.432uW.png
239 45 CC,Y13,7,24,4416,1529,47.963,239 45 CC\Y13_47.963uW.png
239 45 CC,A21,10,1,353,2398,48.58,239 45 CC\A21_48.58uW.png
239 45 CC,E21,10,5,1032,2384,46.208,239 45 CC\E21_46.208uW.png
239 45 CC,G21,10,7,1372,2377,47.103,239 45 CC\G21_47.103uW.png
239 45 CC,K21,10,11,2052,2363,47.291,239 45 CC\K21_47.291uW.png
239 45 CC,O21,10,14,2731,2349,46.172,239 45 CC\O21_46.172uW.png
239 45 CC,S21,10,18,3411,2335,46.369,239 45 CC\S21_46.369uW.png
239 45 CC,U21,10,20,3752,2328,47.085,239 45 CC\U21_47.085uW.png
239 45 CC,Y21,10,24,4432,2314,49.699,239 45 CC\Y21_49.699uW.png
239 45 CC,C27,13,3,705,2979,49.663,239 45 CC\C27_49.663uW.png
239 45 CC,I27,13,9,1725,2958,47.649,239 45 CC\I27_47.649uW.png
239 45 CC,Q27,13,16,3085,2930,46.629,239 45 CC\Q27_46.629uW.png
239 45 CC,W27,13,22,4105,2909,46.629,239 45 CC\W27_46.629uW.png
239 45 CC,B32,16,2,544,3462,48.043,239 45 CC\B32_48.043uW.png
239 45 CC,E33,16,5,1056,3561,48.473,239 45 CC\E33_48.473uW.png
239 45 CC,G33,16,7,1396,3554,46.083,239 45 CC\G33_46.083uW.png
239 45 CC,K33,16,11,2076,3540,44.651,239 45 CC\K33_44.651uW.png
239 45 CC,O33,16,14,2756,3526,44.731,239 45 CC\O33_44.731uW.png
239 45 CC,S33,16,18,3435,3512,46.136,239 45 CC\S33_46.136uW.png
239 45 CC,U33,16,20,3776,3505,43.46,239 45 CC\U33_43.46uW.png
239 45 CC,X32,16,23,4284,3385,43.46,239 45 CC\X32_43.46uW.png
