array,label,row,col,x,y,Power_uW,crop_file
255 22 CB,E01,1,5,981,436,49.941,255 22 CB\E1_49.941uW.png
255 22 CB,G01,1,7,1322,429,51.642,255 22 CB\G1_51.642uW.png
255 22 CB,K01,1,11,2001,418,53.28,255 22 CB\K1_53.28uW.png
255 22 CB,O01,1,14,2680,407,53.906,255 22 CB\O1_53.906uW.png
255 22 CB,S01,1,18,3360,394,52.304,255 22 CB\S1_52.304uW.png
255 22 CB,U01,1,20,3700,389,51.471,255 22 CB\U1_51.471uW.png
255 22 CB,X02,1,23,4213,477,52.465,255 22 CB\X2_52.465uW.png
255 22 CB,A03,2,1,304,643,51.579,255 22 CB\A3_51.579uW.png
255 22 CB,C07,4,3,651,1049,52.42,255 22 CB\C7_52.42uW.png
255 22 CB,I07,4,9,1671,1029,53.163,255 22 CB\I7_53.163uW.png
255 22 CB,Q07,4,16,3032,1008,53.154,255 22 CB\Q7_53.154uW.png
255 22 CB,X08,4,23,4223,1066,53.271,255 22 CB\X8_53.271uW.png
255 22 CB,A13,7,1,322,1625,51.865,255 22 CB\A13_51.865uW.png
255 22 CB,E13,7,5,1000,1612,52.555,255 22 CB\E13_52.555uW.png
255 22 CB,G13,7,7,1340,1606,52.34,255 22 CB\G13_52.34uW.png
255 22 CB,K13,7,11,2021,1594,51.489,255 22 CB\K13_51.489uW.png
255 22 CB,O13,7,14,2700,1583,53.745,255 22 CB\O13_53.745uW.png
255 22 CB,S13,7,18,3380,1572,52.769,255 22 CB\S13_52.769uW.png
255 22 CB,U13,7,20,3720,1566,51.686,255 22 CB\U13_51.686uW.png
255 22 CB,Y13,7,24,4401,1554,54.049,255 22 CB\Y13_54.049uW.png
255 22 CB,A21,10,1,336,2410,51.695,255 22 CB\A21_51.695uW.png
255 22 CB,E21,10,5,1015,2397,53.817,255 22 CB\E21_53.817uW.png
255 22 CB,G21,10,7,1354,2391,53.199,255 22 CB\G21_53.199uW.png
255 22 CB,K21,10,11,2034,2379,51.785,255 22 CB\K21_51.785uW.png
255 22 CB,O21,10,14,2715,2368,51.856,255 22 CB\O21_51.856uW.png
255 22 CB,S21,10,18,3394,2357,52.089,255 22 CB\S21_52.089uW.png
255 22 CB,U21,10,20,3734,2351,52.85,255 22 CB\U21_52.85uW.png
255 22 CB,Y21,10,24,4415,2338,53.333,255 22 CB\Y21_53.333uW.png
255 22 CB,C27,13,3,686,3008,51.606,255 22 CB\C27_51.606uW.png
255 22 CB,I27,13,9,1705,2989,54.721,255 22 CB\I27_54.721uW.png
255 22 CB,Q27,13,16,3068,2968,50.737,255 22 CB\Q27_50.737uW.png
255 22 CB,W27,13,22,4086,2950,53.799,255 22 CB\W27_53.799uW.png
255 22 CB,B32,16,2,522,3486,51.946,255 22 CB\B32_51.946uW.png
255 22 CB,E33,16,5,1035,3575,52.644,255 22 CB\E33_52.644uW.png
255 22 CB,G33,16,7,1376,3570,54.237,255 22 CB\G33_54.237uW.png
255 22 CB,K33,16,11,2055,3557,53.145,255 22 CB\K33_53.145uW.png
255 22 CB,O33,16,14,2735,3545,53.28,255 22 CB\O33_53.28uW.png
255 22 CB,S33,16,18,3416,3535,51.319,255 22 CB\S33_51.319uW.png
255 22 CB,U33,16,20,3755,3528,53.584,255 22 CB\U33_53.584uW.png
255 22 CB,X32,16,23,4263,3422,53.557,255 22 CB\X32_53.557uW.png
