array,label,row,col,x,y,Power_uW,crop_file
263 25 CB,B02,1,2,446,565,42.081,263 25 CB\B2_42.081uW.png
263 25 CB,E01,1,5,955,457,42.457,263 25 CB\E1_42.457uW.png
263 25 CB,G01,1,7,1296,451,41.625,263 25 CB\G1_41.625uW.png
263 25 CB,K01,1,11,1975,438,42.037,263 25 CB\K1_42.037uW.png
263 25 CB,O01,1,14,2654,427,43.227,263 25 CB\O1_43.227uW.png
263 25 CB,S01,1,18,3335,413,40.524,263 25 CB\S1_40.524uW.png
263 25 CB,U01,1,20,3675,407,40.748,263 25 CB\U1_40.748uW.png
263 25 CB,X02,1,23,4187,495,41.679,263 25 CB\X2_41.679uW.png
263 25 CB,C07,4,3,627,1071,43.057,263 25 CB\C7_43.057uW.png
263 25 CB,I07,4,9,1646,1050,40.658,263 25 CB\I7_40.658uW.png
263 25 CB,Q07,4,16,3007,1027,43.415,263 25 CB\Q7_43.415uW.png
263 25 CB,W07,4,22,4028,1008,41.858,263 25 CB\W7_41.858uW.png
263 25 CB,A13,7,1,298,1648,42.448,263 25 CB\A13_42.448uW.png
263 25 CB,E13,7,5,976,1634,43.129,263 25 CB\E13_43.129uW.png
263 25 CB,G13,7,7,1316,1627,42.359,263 25 CB\G13_42.359uW.png
263 25 CB,K13,7,11,1997,1615,42.225,263 25 CB\K13_42.225uW.png
263 25 CB,O13,7,14,2676,1602,43.415,263 25 CB\O13_43.415uW.png
263 25 CB,S13,7,18,3356,1591,41.706,263 25 CB\S13_41.706uW.png
263 25 CB,U13,7,20,3696,1584,42.654,263 25 CB\U13_42.654uW.png
263 25 CB,Y13,7,24,4377,1572,43.209,263 25 CB\Y13_43.209uW.png
263 25 CB,A21,10,1,313,2433,42.216,263 25 CB\A21_42.216uW.png
263 25 CB,E21,10,5,992,2419,42.815,263 25 CB\E21_42.815uW.png
263 25 CB,G21,10,7,1332,2412,43.675,263 25 CB\G21_43.675uW.png
263 25 CB,K21,10,11,2011,2400,41.222,263 25 CB\K21_41.222uW.png
263 25 CB,O21,10,14,2692,2387,43.755,263 25 CB\O21_43.755uW.png
263 25 CB,S21,10,18,3371,2376,43.2,263 25 CB\S21_43.2uW.png
263 25 CB,U21,10,20,3711,2369,42.753,263 25 CB\U21_42.753uW.png
263 25 CB,Y21,10,24,4392,2355,40.98,263 25 CB\Y21_40.98uW.png
263 25 CB,C27,13,3,664,3031,43.863,263 25 CB\C27_43.863uW.png
263 25 CB,I27,13,9,1683,3010,43.254,263 25 CB\I27_43.254uW.png
263 25 CB,Q27,13,16,3046,2987,41.535,263 25 CB\Q27_41.535uW.png
263 25 CB,W27,13,22,4064,2968,42.162,263 25 CB\W27_42.162uW.png
263 25 CB,B32,16,2,500,3509,42.932,263 25 CB\B32_42.932uW.png
263 25 CB,E33,16,5,1014,3597,42.234,263 25 CB\E33_42.234uW.png
263 25 CB,G33,16,7,1355,3591,43.218,263 25 CB\G33_43.218uW.png
263 25 CB,K33,16,11,2033,3578,43.505,263 25 CB\K33_43.505uW.png
263 25 CB,O33,16,14,2713,3565,41.947,263 25 CB\O33_41.947uW.png
263 25 CB,S33,16,18,3394,3553,40.121,263 25 CB\S33_40.121uW.png
263 25 CB,U33,16,20,3734,3547,42.332,263 25 CB\U33_42.332uW.png
263 25 CB,X32,16,23,4241,3439,42.216,263 25 CB\X32_42.216uW.png
