array,label,row,col,x,y,Power_uW,crop_file
263 22 CB,B02,1,2,482,564,37.734,263 22 CB\B2_37.734uW.png
263 22 CB,E01,1,5,990,468,42.833,263 22 CB\E1_42.833uW.png
263 22 CB,G01,1,7,1330,462,42.466,263 22 CB\G1_42.466uW.png
263 22 CB,K01,1,11,2010,449,41.535,263 22 CB\K1_41.535uW.png
263 22 CB,O01,1,14,2690,437,38.481,263 22 CB\O1_38.481uW.png
263 22 CB,S01,1,18,3370,425,41.491,263 22 CB\S1_41.491uW.png
263 22 CB,U01,1,20,3711,419,44.597,263 22 CB\U1_44.597uW.png
263 22 CB,X02,1,23,4223,497,43.317,263 22 CB\X2_43.317uW.png
263 22 CB,C07,4,3,662,1063,38.587,263 22 CB\C7_38.587uW.png
263 22 CB,I07,4,9,1682,1045,42.592,263 22 CB\I7_42.592uW.png
263 22 CB,Q07,4,16,3043,1020,43.254,263 22 CB\Q7_43.254uW.png
263 22 CB,W07,4,22,4063,1002,42.986,263 22 CB\W7_42.986uW.png
263 22 CB,A13,7,1,332,1657,42.636,263 22 CB\A13_42.636uW.png
263 22 CB,E13,7,5,1011,1645,42.144,263 22 CB\E13_42.144uW.png
263 22 CB,G13,7,7,1351,1639,43.191,263 22 CB\G13_43.191uW.png
263 22 CB,K13,7,11,2031,1626,43.066,263 22 CB\K13_43.066uW.png
263 22 CB,O13,7,14,2711,1614,41.634,263 22 CB\O13_41.634uW.png
263 22 CB,S13,7,18,3391,1602,41.893,263 22 CB\S13_41.893uW.png
263 22 CB,U13,7,20,3732,1596,43.174,263 22 CB\U13_43.174uW.png
263 22 CB,Y13,7,24,4412,1584,42.583,263 22 CB\Y13_42.583uW.png
263 22 CB,A21,10,1,347,2442,41.115,263 22 CB\A21_41.115uW.png
263 22 CB,E21,10,5,1026,2430,42.61,263 22 CB\E21_42.61uW.png
263 22 CB,G21,10,7,1366,2424,40.98,263 22 CB\G21_40.98uW.png
263 22 CB,K21,10,11,2045,2411,42.914,263 22 CB\K21_42.914uW.png
263 22 CB,O21,10,14,2725,2399,42.081,263 22 CB\O21_42.081uW.png
263 22 CB,S21,10,18,3405,2387,41.401,263 22 CB\S21_41.401uW.png
263 22 CB,U21,10,20,3746,2381,41.455,263 22 CB\U21_41.455uW.png
263 22 CB,Y21,10,24,4426,2369,42.001,263 22 CB\Y21_42.001uW.png
263 22 CB,C27,13,3,697,3024,41.67,263 22 CB\C27_41.67uW.png
263 22 CB,I27,13,9,1717,3005,42.296,263 22 CB\I27_42.296uW.png
263 22 CB,Q27,13,16,3078,2981,42.986,263 22 CB\Q27_42.986uW.png
263 22 CB,W27,13,22,4098,2963,40.775,263 22 CB\W27_40.775uW.png
263 22 CB,B32,16,2,535,3507,43.809,263 22 CB\B32_43.809uW.png
263 22 CB,E33,16,5,1047,3607,43.576,263 22 CB\E33_43.576uW.png
263 22 CB,G33,16,7,1387,3601,41.043,263 22 CB\G33_41.043uW.png
263 22 CB,K33,16,11,2067,3588,41.867,263 22 CB\K33_41.867uW.png
263 22 CB,O33,16,14,2747,3576,43.182,263 22 CB\O33_43.182uW.png
263 22 CB,S33,16,18,3427,3564,41.732,263 22 CB\S33_41.732uW.png
263 22 CB,U33,16,20,3768,3558,42.448,263 22 CB\U33_42.448uW.png
263 22 CB,X32,16,23,4276,3440,41.974,263 22 CB\X32_41.974uW.png
