array,label,row,col,x,y,Power_uW,crop_file
263 35 CA,B02,1,2,447,658,43.693,263 35 CA\B2_43.693uW.png
263 35 CA,E01,1,5,955,562,43.093,263 35 CA\E1_43.093uW.png
263 35 CA,G01,1,7,1295,556,42.413,263 35 CA\G1_42.413uW.png
263 35 CA,K01,1,11,1975,544,45.501,263 35 CA\K1_45.501uW.png
263 35 CA,O01,1,14,2655,532,44.633,263 35 CA\O1_44.633uW.png
263 35 CA,S01,1,18,3334,520,43.943,263 35 CA\S1_43.943uW.png
263 35 CA,U01,1,20,3675,514,43.567,263 35 CA\U1_43.567uW.png
263 35 CA,X02,1,23,4187,592,41.67,263 35 CA\X2_41.67uW.png
263 35 CA,C07,4,3,627,1157,43.72,263 35 CA\C7_43.72uW.png
263 35 CA,I07,4,9,1647,1139,43.129,263 35 CA\I7_43.129uW.png
263 35 CA,Q07,4,16,3007,1115,43.379,263 35 CA\Q7_43.379uW.png
263 35 CA,W07,4,22,4027,1097,43.621,263 35 CA\W7_43.621uW.png
263 35 CA,A13,7,1,298,1751,45.778,263 35 CA\A13_45.778uW.png
263 35 CA,E13,7,5,976,1739,43.066,263 35 CA\E13_43.066uW.png
263 35 CA,G13,7,7,1316,1733,42.636,263 35 CA\G13_42.636uW.png
263 35 CA,K13,7,11,1996,1721,42.941,263 35 CA\K13_42.941uW.png
263 35 CA,O13,7,14,2676,1709,44.301,263 35 CA\O13_44.301uW.png
263 35 CA,S13,7,18,3355,1697,43.281,263 35 CA\S13_43.281uW.png
263 35 CA,U13,7,20,3696,1691,44.248,263 35 CA\U13_44.248uW.png
263 35 CA,Y13,7,24,4376,1678,42.968,263 35 CA\Y13_42.968uW.png
263 35 CA,A21,10,1,312,2536,43.003,263 35 CA\A21_43.003uW.png
263 35 CA,E21,10,5,990,2524,42.923,263 35 CA\E21_42.923uW.png
263 35 CA,G21,10,7,1330,2518,43.406,263 35 CA\G21_43.406uW.png
263 35 CA,K21,10,11,2010,2505,44.284,263 35 CA\K21_44.284uW.png
263 35 CA,O21,10,14,2690,2493,42.78,263 35 CA\O21_42.78uW.png
263 35 CA,S21,10,18,3369,2481,44.856,263 35 CA\S21_44.856uW.png
263 35 CA,U21,10,20,3710,2475,44.239,263 35 CA\U21_44.239uW.png
263 35 CA,Y21,10,24,4390,2463,43.639,263 35 CA\Y21_43.639uW.png
263 35 CA,C27,13,3,662,3117,41.849,263 35 CA\C27_41.849uW.png
263 35 CA,I27,13,9,1682,3099,43.532,263 35 CA\I27_43.532uW.png
263 35 CA,Q27,13,16,3042,3075,42.359,263 35 CA\Q27_42.359uW.png
263 35 CA,W27,13,22,4061,3057,45.071,263 35 CA\W27_45.071uW.png
263 35 CA,B32,16,2,500,3600,43.567,263 35 CA\B32_43.567uW.png
263 35 CA,E33,16,5,1011,3700,43.487,263 35 CA\E33_43.487uW.png
263 35 CA,G33,16,7,1351,3694,42.699,263 35 CA\G33_42.699uW.png
263 35 CA,K33,16,11,2031,3682,43.317,263 35 CA\K33_43.317uW.png
263 35 CA,O33,16,14,2711,3670,42.878,263 35 CA\O33_42.878uW.png
263 35 CA,S33,16,18,3390,3658,40.855,263 35 CA\S33_40.855uW.png
263 35 CA,U33,16,20,3731,3652,44.543,263 35 CA\U33_44.543uW.png
263 35 CA,X32,16,23,4239,3534,42.386,263 35 CA\X32_42.386uW.png
