array,label,row,col,x,y,Power_uW,crop_file
263 32 CA,B02,1,2,460,640,42.037,263 32 CA\B2_42.037uW.png
263 32 CA,E01,1,5,969,544,43.344,263 32 CA\E1_43.344uW.png
263 32 CA,G01,1,7,1309,537,42.44,263 32 CA\G1_42.44uW.png
263 32 CA,K01,1,11,1989,525,40.864,263 32 CA\K1_40.864uW.png
263 32 CA,O01,1,14,2670,513,42.878,263 32 CA\O1_42.878uW.png
263 32 CA,S01,1,18,3350,501,42.744,263 32 CA\S1_42.744uW.png
263 32 CA,U01,1,20,3691,495,42.52,263 32 CA\U1_42.52uW.png
263 32 CA,X02,1,23,4203,573,42.243,263 32 CA\X2_42.243uW.png
263 32 CA,C07,4,3,640,1139,41.625,263 32 CA\C7_41.625uW.png
263 32 CA,I07,4,9,1661,1120,42.538,263 32 CA\I7_42.538uW.png
263 32 CA,Q07,4,16,3022,1096,42.887,263 32 CA\Q7_42.887uW.png
263 32 CA,W07,4,22,4043,1078,42.95,263 32 CA\W7_42.95uW.png
263 32 CA,A13,7,1,311,1733,42.368,263 32 CA\A13_42.368uW.png
263 32 CA,E13,7,5,990,1721,40.846,263 32 CA\E13_40.846uW.png
263 32 CA,G13,7,7,1330,1715,43.603,263 32 CA\G13_43.603uW.png
263 32 CA,K13,7,11,2010,1703,42.422,263 32 CA\K13_42.422uW.png
263 32 CA,O13,7,14,2691,1690,42.556,263 32 CA\O13_42.556uW.png
263 32 CA,S13,7,18,3371,1678,42.529,263 32 CA\S13_42.529uW.png
263 32 CA,U13,7,20,3712,1672,43.326,263 32 CA\U13_43.326uW.png
263 32 CA,Y13,7,24,4392,1660,42.243,263 32 CA\Y13_42.243uW.png
263 32 CA,A21,10,1,325,2518,42.493,263 32 CA\A21_42.493uW.png
263 32 CA,E21,10,5,1004,2506,38.891,263 32 CA\E21_38.891uW.png
263 32 CA,G21,10,7,1344,2500,40.828,263 32 CA\G21_40.828uW.png
263 32 CA,K21,10,11,2025,2488,42.234,263 32 CA\K21_42.234uW.png
263 32 CA,O21,10,14,2705,2476,41.186,263 32 CA\O21_41.186uW.png
263 32 CA,S21,10,18,3385,2463,40.989,263 32 CA\S21_40.989uW.png
263 32 CA,U21,10,20,3726,2457,40.792,263 32 CA\U21_40.792uW.png
263 32 CA,Y21,10,24,4406,2445,42.896,263 32 CA\Y21_42.896uW.png
263 32 CA,C27,13,3,676,3100,42.798,263 32 CA\C27_42.798uW.png
263 32 CA,I27,13,9,1696,3082,40.936,263 32 CA\I27_40.936uW.png
263 32 CA,Q27,13,16,3057,3058,40.748,263 32 CA\Q27_40.748uW.png
263 32 CA,W27,13,22,4078,3039,40.9,263 32 CA\W27_40.9uW.png
263 32 CA,B32,16,2,513,3584,41.186,263 32 CA\B32_41.186uW.png
263 32 CA,E33,16,5,1025,3683,41.983,263 32 CA\E33_41.983uW.png
263 32 CA,G33,16,7,1365,3677,42.762,263 32 CA\G33_42.762uW.png
263 32 CA,K33,16,11,2046,3665,43.129,263 32 CA\K33_43.129uW.png
263 32 CA,O33,16,14,2726,3653,43.093,263 32 CA\O33_43.093uW.png
263 32 CA,S33,16,18,3406,3641,42.717,263 32 CA\S33_42.717uW.png
263 32 CA,U33,16,20,3747,3635,41.025,263 32 CA\U33_41.025uW.png
263 32 CA,X32,16,23,4255,3517,43.388,263 32 CA\X32_43.388uW.png
